                         AoE         Caster  Crowd-Control    DP-Recovery            DPS         Debuff       Defender        Defense  Fast-Redeploy          Guard        Healing          Medic          Melee          Nuker         Ranged          Robot         Senior          Shift           Slow         Sniper     Specialist        Starter         Summon        Support      Supporter       Survival            Top       Vanguard  
        Nuker  +0.0007116223  +0.0016410882  +0.0000217844  +0.0017330666  +0.0007382476  +0.0001379676  +0.0011473095  +0.0010722744  +0.0002517303  +0.0013336867  +0.0009367273  +0.0017016003  +0.0011594119  +0.0000193639  +0.0015491098  +0.0000411482  +0.0000314663  +0.0001113423  +0.0006317463  +0.0011545709  +0.0002275255  +0.0016677135  +0.0000121024  +0.0000847169  +0.0014619724  +0.0006002801  +0.0000363073  +0.0017451690  
       Ranged  +0.0569297854  +0.1312870561  +0.0017427485  +0.1386453277  +0.0590598114  +0.0110374074  +0.0917847560  +0.0857819555  +0.0201384275  +0.1066949379  +0.0749381869  +0.1361280242  +0.0927529497  +0.0015491098  +0.1239287845  +0.0032918583  +0.0025173034  +0.0089073814  +0.0505397074  +0.0923656722  +0.0182020402  +0.1334170821  +0.0009681936  +0.0067773554  +0.1169577904  +0.0480224040  +0.0029045809  +0.1396135213  
        Robot  +0.0015121974  +0.0034873124  +0.0000462918  +0.0036827665  +0.0015687762  +0.0002931811  +0.0024380326  +0.0022785832  +0.0005349270  +0.0028340843  +0.0019905456  +0.0036159006  +0.0024637502  +0.0000411482  +0.0032918583  +0.0000874400  +0.0000668659  +0.0002366023  +0.0013424610  +0.0024534632  +0.0004834917  +0.0035438912  +0.0000257176  +0.0001800235  +0.0031066913  +0.0012755951  +0.0000771529  +0.0037084842  
       Senior  +0.0011563863  +0.0026667683  +0.0000353996  +0.0028162332  +0.0011996524  +0.0002241973  +0.0018643779  +0.0017424460  +0.0004090618  +0.0021672409  +0.0015221819  +0.0027651005  +0.0018840443  +0.0000314663  +0.0025173034  +0.0000668659  +0.0000511327  +0.0001809312  +0.0010265878  +0.0018761777  +0.0003697289  +0.0027100345  +0.0000196664  +0.0001376650  +0.0023757051  +0.0009754551  +0.0000589993  +0.0028358997  
        Shift  +0.0040918283  +0.0094362572  +0.0001252601  +0.0099651329  +0.0042449239  +0.0007933137  +0.0065970293  +0.0061655781  +0.0014474495  +0.0076686987  +0.0053861822  +0.0097842017  +0.0066666183  +0.0001113423  +0.0089073814  +0.0002366023  +0.0001809312  +0.0006402180  +0.0036325415  +0.0066387827  +0.0013082716  +0.0095893528  +0.0000695889  +0.0004871224  +0.0084063412  +0.0034516103  +0.0002087668  +0.0100347218  
         Slow  +0.0232166781  +0.0535405026  +0.0007107146  +0.0565412977  +0.0240853293  +0.0045011927  +0.0374309708  +0.0349829537  +0.0082127025  +0.0435115294  +0.0305607293  +0.0555147099  +0.0378258123  +0.0006317463  +0.0505397074  +0.0013424610  +0.0010265878  +0.0036325415  +0.0206107244  +0.0376678757  +0.0074230195  +0.0544091538  +0.0003948415  +0.0027638903  +0.0476968489  +0.0195841366  +0.0011845244  +0.0569361392  
       Sniper  +0.0424304807  +0.0978498840  +0.0012988923  +0.1033340958  +0.0440180157  +0.0082263177  +0.0684083260  +0.0639343637  +0.0150094217  +0.0795210709  +0.0558523674  +0.1014579181  +0.0691299328  +0.0011545709  +0.0923656722  +0.0024534632  +0.0018761777  +0.0066387827  +0.0376678757  +0.0688412901  +0.0135662081  +0.0994374190  +0.0007216068  +0.0050512477  +0.0871701031  +0.0357916980  +0.0021648204  +0.1040557026  
   Specialist  +0.0083615622  +0.0192827864  +0.0002559662  +0.0203635325  +0.0086744098  +0.0016211192  +0.0134808860  +0.0125992247  +0.0029578315  +0.0156708190  +0.0110065462  +0.0199938036  +0.0136230895  +0.0002275255  +0.0182020402  +0.0004834917  +0.0003697289  +0.0013082716  +0.0074230195  +0.0135662081  +0.0026734247  +0.0195956339  +0.0001422034  +0.0009954241  +0.0171781755  +0.0070532906  +0.0004266103  +0.0205057359  
      Starter  +0.0612884721  +0.1413387213  +0.0018761777  +0.1492603606  +0.0635815782  +0.0118824589  +0.0988120264  +0.0923496365  +0.0216802758  +0.1148637691  +0.0806756418  +0.1465503261  +0.0998543474  +0.0016677135  +0.1334170821  +0.0035438912  +0.0027100345  +0.0095893528  +0.0544091538  +0.0994374190  +0.0195956339  +0.1436318274  +0.0010423210  +0.0072962467  +0.1259123712  +0.0516991193  +0.0031269629  +0.1503026815  
       Summon  +0.0004447639  +0.0010256801  +0.0000136152  +0.0010831666  +0.0004614048  +0.0000862297  +0.0007170684  +0.0006701715  +0.0001573315  +0.0008335542  +0.0005854546  +0.0010635002  +0.0007246324  +0.0000121024  +0.0009681936  +0.0000257176  +0.0000196664  +0.0000695889  +0.0003948415  +0.0007216068  +0.0001422034  +0.0010423210  +0.0000075640  +0.0000529481  +0.0009137327  +0.0003751750  +0.0000226920  +0.0010907306  
      Support  +0.0031133476  +0.0071797609  +0.0000953066  +0.0075821664  +0.0032298334  +0.0006036082  +0.0050194788  +0.0046912007  +0.0011013203  +0.0058348794  +0.0040981821  +0.0074445013  +0.0050724269  +0.0000847169  +0.0067773554  +0.0001800235  +0.0001376650  +0.0004871224  +0.0027638903  +0.0050512477  +0.0009954241  +0.0072962467  +0.0000529481  +0.0003706366  +0.0063961292  +0.0026262252  +0.0001588443  +0.0076351144  
    Supporter  +0.0537274850  +0.1239021592  +0.0016447189  +0.1308465280  +0.0557376970  +0.0104165532  +0.0866218635  +0.0809567205  +0.0190056409  +0.1006933477  +0.0707229139  +0.1284708229  +0.0875355962  +0.0014619724  +0.1169577904  +0.0031066913  +0.0023757051  +0.0084063412  +0.0476968489  +0.0871701031  +0.0171781755  +0.1259123712  +0.0009137327  +0.0063961292  +0.1103789147  +0.0453211438  +0.0027411982  +0.1317602607  
     Survival  +0.0220602918  +0.0508737342  +0.0006753151  +0.0537250645  +0.0228856769  +0.0042769954  +0.0355665930  +0.0332405078  +0.0078036407  +0.0413442884  +0.0290385474  +0.0527496094  +0.0359417680  +0.0006002801  +0.0480224040  +0.0012755951  +0.0009754551  +0.0034516103  +0.0195841366  +0.0357916980  +0.0070532906  +0.0516991193  +0.0003751750  +0.0026262252  +0.0453211438  +0.0186086816  +0.0011255251  +0.0541002395  
          Top  +0.0013342918  +0.0030770404  +0.0000408457  +0.0032494999  +0.0013842143  +0.0002586892  +0.0021512052  +0.0020105146  +0.0004719944  +0.0025006626  +0.0017563638  +0.0031905006  +0.0021738973  +0.0000363073  +0.0029045809  +0.0000771529  +0.0000589993  +0.0002087668  +0.0011845244  +0.0021648204  +0.0004266103  +0.0031269629  +0.0000226920  +0.0001588443  +0.0027411982  +0.0011255251  +0.0000680761  +0.0032721919  
     Vanguard  +0.0641349614  +0.1479030741  +0.0019633151  +0.1561926270  +0.0665345687  +0.0124343292  +0.1034012642  +0.0966387343  +0.0226871972  +0.1201985160  +0.0844225512  +0.1533567273  +0.1044919949  +0.0017451690  +0.1396135213  +0.0037084842  +0.0028358997  +0.0100347218  +0.0569361392  +0.1040557026  +0.0205057359  +0.1503026815  +0.0010907306  +0.0076351144  +0.1317602607  +0.0541002395  +0.0032721919  +0.1572833576  
