,AoE,Caster,Crowd-Control,DP-Recovery,DPS,Debuff,Defender,Defense,Fast-Redeploy,Guard,Healing,Medic,Melee,Nuker,Ranged,Robot,Senior,Shift,Slow,Sniper,Specialist,Starter,Summon,Support,Supporter,Survival,Top,Vanguard,
Healing,0.0352035203520352,0.06545654565456546,0.0,0.08030803080308031,0.046754675467546754,0.0088008800880088,0.019251925192519254,0.00935093509350935,0.00935093509350935,0.05500550055005501,0.21287128712871287,0.0781078107810781,0.014301430143014302,0.0,0.06820682068206821,0.0022002200220022,0.00055005500550055,0.0044004400440044,0.034653465346534656,0.047304730473047306,0.013201320132013201,0.07205720572057206,0.00055005500550055,0.005500550055005501,0.06655665566556655,0.03905390539053905,0.0022002200220022,0.07205720572057206,
Medic,0.056105610561056105,0.12926292629262925,0.00055005500550055,0.12431243124312431,0.06050605060506051,0.0049504950495049506,0.08305830583058306,0.09295929592959296,0.013751375137513752,0.0924092409240924,0.0781078107810781,0.3866886688668867,0.08030803080308031,0.00055005500550055,0.12981298129812982,0.0033003300330033004,0.00055005500550055,0.007150715071507151,0.04950495049504951,0.08085808580858085,0.010451045104510451,0.12871287128712872,0.0,0.0033003300330033004,0.12156215621562157,0.0484048404840484,0.0016501650165016502,0.1419141914191419,
Melee,0.014301430143014302,0.07920792079207921,0.0011001100110011,0.08305830583058306,0.041804180418041806,0.0049504950495049506,0.0737073707370737,0.06490649064906491,0.015401540154015401,0.09735973597359736,0.014301430143014302,0.08030803080308031,0.26347634763476346,0.00055005500550055,0.07865786578657866,0.0044004400440044,0.0011001100110011,0.0049504950495049506,0.007150715071507151,0.08305830583058306,0.012651265126512651,0.0891089108910891,0.0,0.006600660066006601,0.07150715071507151,0.03135313531353135,0.0011001100110011,0.09130913091309131,
Nuker,0.0,0.0011001100110011,0.0011001100110011,0.0,0.00055005500550055,0.00055005500550055,0.0016501650165016502,0.00055005500550055,0.00055005500550055,0.0011001100110011,0.0,0.00055005500550055,0.00055005500550055,0.0044004400440044,0.0016501650165016502,0.0,0.0011001100110011,0.0,0.0,0.0016501650165016502,0.00055005500550055,0.0,0.00055005500550055,0.0,0.0011001100110011,0.0,0.0016501650165016502,0.00055005500550055,
Ranged,0.056105610561056105,0.11166116611661166,0.0011001100110011,0.12266226622662266,0.04785478547854786,0.010451045104510451,0.08635863586358636,0.08855885588558855,0.013201320132013201,0.08745874587458746,0.06820682068206821,0.12981298129812982,0.07865786578657866,0.0016501650165016502,0.35203520352035206,0.0027502750275027505,0.0011001100110011,0.005500550055005501,0.047304730473047306,0.08855885588558855,0.0088008800880088,0.11551155115511551,0.0,0.0033003300330033004,0.09515951595159516,0.009900990099009901,0.00055005500550055,0.12376237623762376,
Robot,0.0022002200220022,0.0022002200220022,0.00055005500550055,0.0011001100110011,0.00055005500550055,0.0011001100110011,0.0011001100110011,0.0011001100110011,0.00055005500550055,0.00055005500550055,0.0022002200220022,0.0033003300330033004,0.0044004400440044,0.0,0.0027502750275027505,0.00935093509350935,0.0,0.0,0.0016501650165016502,0.0016501650165016502,0.00055005500550055,0.0022002200220022,0.0,0.0,0.0027502750275027505,0.0011001100110011,0.00055005500550055,0.0033003300330033004,
Senior,0.0016501650165016502,0.00055005500550055,0.0022002200220022,0.0027502750275027505,0.0016501650165016502,0.0,0.0011001100110011,0.0,0.00055005500550055,0.0016501650165016502,0.00055005500550055,0.00055005500550055,0.0011001100110011,0.0011001100110011,0.0011001100110011,0.0,0.007150715071507151,0.0,0.00055005500550055,0.0016501650165016502,0.0011001100110011,0.0011001100110011,0.0011001100110011,0.0,0.00055005500550055,0.0011001100110011,0.0027502750275027505,0.0016501650165016502,
Shift,0.006600660066006601,0.00605060506050605,0.0,0.007150715071507151,0.00055005500550055,0.0038503850385038503,0.00055005500550055,0.0,0.0088008800880088,0.006600660066006601,0.0044004400440044,0.007150715071507151,0.0049504950495049506,0.0,0.005500550055005501,0.0,0.0,0.025302530253025302,0.00055005500550055,0.007700770077007701,0.007150715071507151,0.005500550055005501,0.0,0.0011001100110011,0.005500550055005501,0.00605060506050605,0.0,0.005500550055005501,
Slow,0.00825082508250825,0.05335533553355336,0.00055005500550055,0.059955995599559955,0.006600660066006601,0.00605060506050605,0.03355335533553355,0.034103410341034104,0.007150715071507151,0.010451045104510451,0.034653465346534656,0.04950495049504951,0.007150715071507151,0.0,0.047304730473047306,0.0016501650165016502,0.00055005500550055,0.00055005500550055,0.14356435643564355,0.01485148514851485,0.0022002200220022,0.04565456545654566,0.00055005500550055,0.0038503850385038503,0.05720572057205721,0.0297029702970297,0.0,0.05885588558855886,
Sniper,0.017051705170517052,0.07700770077007701,0.0011001100110011,0.0858085808580858,0.0539053905390539,0.00935093509350935,0.0638063806380638,0.05500550055005501,0.011001100110011002,0.0858085808580858,0.047304730473047306,0.08085808580858085,0.08305830583058306,0.0016501650165016502,0.08855885588558855,0.0016501650165016502,0.0016501650165016502,0.007700770077007701,0.01485148514851485,0.2623762376237624,0.011001100110011002,0.07865786578657866,0.0011001100110011,0.005500550055005501,0.06985698569856985,0.011001100110011002,0.0027502750275027505,0.07865786578657866,
Specialist,0.007150715071507151,0.01155115511551155,0.00055005500550055,0.01485148514851485,0.0044004400440044,0.00605060506050605,0.014301430143014302,0.00825082508250825,0.014301430143014302,0.012651265126512651,0.013201320132013201,0.010451045104510451,0.012651265126512651,0.00055005500550055,0.0088008800880088,0.00055005500550055,0.0011001100110011,0.007150715071507151,0.0022002200220022,0.011001100110011002,0.0517051705170517,0.01155115511551155,0.00055005500550055,0.005500550055005501,0.012651265126512651,0.0027502750275027505,0.0016501650165016502,0.009900990099009901,
Starter,0.056105610561056105,0.12706270627062707,0.0,0.13476347634763478,0.061606160616061605,0.0033003300330033004,0.08745874587458746,0.07975797579757976,0.0121012101210121,0.10121012101210121,0.07205720572057206,0.12871287128712872,0.0891089108910891,0.0,0.11551155115511551,0.0022002200220022,0.0011001100110011,0.005500550055005501,0.04565456545654566,0.07865786578657866,0.01155115511551155,0.378987898789879,0.00055005500550055,0.00605060506050605,0.11166116611661166,0.04950495049504951,0.0,0.13366336633663367,
Summon,0.00055005500550055,0.0011001100110011,0.0,0.0011001100110011,0.00055005500550055,0.0,0.0011001100110011,0.00055005500550055,0.0,0.00055005500550055,0.00055005500550055,0.0,0.0,0.00055005500550055,0.0,0.0,0.0011001100110011,0.0,0.00055005500550055,0.0011001100110011,0.00055005500550055,0.00055005500550055,0.0027502750275027505,0.0,0.00055005500550055,0.0,0.0,0.0,
Support,0.005500550055005501,0.0049504950495049506,0.0,0.0016501650165016502,0.0022002200220022,0.0016501650165016502,0.00605060506050605,0.0022002200220022,0.0033003300330033004,0.0022002200220022,0.005500550055005501,0.0033003300330033004,0.006600660066006601,0.0,0.0033003300330033004,0.0,0.0,0.0011001100110011,0.0038503850385038503,0.005500550055005501,0.005500550055005501,0.00605060506050605,0.0,0.019251925192519254,0.00055005500550055,0.0027502750275027505,0.0011001100110011,0.0022002200220022,
Supporter,0.052805280528052806,0.11661166116611661,0.00055005500550055,0.11496149614961496,0.0049504950495049506,0.0016501650165016502,0.07645764576457646,0.07865786578657866,0.012651265126512651,0.0891089108910891,0.06655665566556655,0.12156215621562157,0.07150715071507151,0.0011001100110011,0.09515951595159516,0.0027502750275027505,0.00055005500550055,0.005500550055005501,0.05720572057205721,0.06985698569856985,0.012651265126512651,0.11166116611661166,0.00055005500550055,0.00055005500550055,0.33223322332233224,0.043454345434543455,0.0016501650165016502,0.11551155115511551,
Survival,0.00605060506050605,0.056105610561056105,0.0011001100110011,0.052255225522552254,0.03355335533553355,0.007150715071507151,0.0033003300330033004,0.0016501650165016502,0.007700770077007701,0.04400440044004401,0.03905390539053905,0.0484048404840484,0.03135313531353135,0.0,0.009900990099009901,0.0011001100110011,0.0011001100110011,0.00605060506050605,0.0297029702970297,0.011001100110011002,0.0027502750275027505,0.04950495049504951,0.0,0.0027502750275027505,0.043454345434543455,0.13641364136413642,0.0011001100110011,0.05500550055005501,
Top,0.0016501650165016502,0.00055005500550055,0.0011001100110011,0.00055005500550055,0.0011001100110011,0.00055005500550055,0.0016501650165016502,0.00055005500550055,0.0011001100110011,0.0027502750275027505,0.0022002200220022,0.0016501650165016502,0.0011001100110011,0.0016501650165016502,0.00055005500550055,0.00055005500550055,0.0027502750275027505,0.0,0.0,0.0027502750275027505,0.0016501650165016502,0.0,0.0,0.0011001100110011,0.0016501650165016502,0.0011001100110011,0.00825082508250825,0.0016501650165016502,
Vanguard,0.05500550055005501,0.13641364136413642,0.0016501650165016502,0.14301430143014301,0.066006600660066,0.009900990099009901,0.08690869086908691,0.08800880088008801,0.007700770077007701,0.09350935093509351,0.07205720572057206,0.1419141914191419,0.09130913091309131,0.00055005500550055,0.12376237623762376,0.0033003300330033004,0.0016501650165016502,0.005500550055005501,0.05885588558855886,0.07865786578657866,0.009900990099009901,0.13366336633663367,0.0,0.0022002200220022,0.11551155115511551,0.05500550055005501,0.0016501650165016502,0.3965896589658966,
