,AoE,Caster,Crowd-Control,DP-Recovery,DPS,Debuff,Defender,Defense,Fast-Redeploy,Guard,Healing,Medic,Melee,Nuker,Ranged,Robot,Senior,Shift,Slow,Sniper,Specialist,Starter,Summon,Support,Supporter,Survival,Top,Vanguard,
Healing,0.03442472960167303,0.07938764173447048,0.0010538182531124398,0.08383709658094522,0.035712729688810466,0.006674182269712119,0.055501094663921835,0.05187127623653454,0.012177455369299307,0.06451709527388383,0.045314184883834915,0.0823149146597828,0.0560865492489843,0.0009367273360999465,0.07493818688799574,0.0019905455892123866,0.0015221819211624133,0.005386182182574693,0.030560729340260755,0.05585236741495932,0.011006546199174372,0.0806756418216079,0.0005854545850624667,0.004098182095437267,0.07072291387554597,0.029038547419098344,0.0017563637551873997,0.08442255116600769,
Medic,0.06253381113688926,0.14421062568303036,0.0019143003409251816,0.15229322712249224,0.0648735115535756,0.012123902159192816,0.1008198179553929,0.09422611678109505,0.022120803939579877,0.11719772087219724,0.0823149146597828,0.14952812663004475,0.10188331814479577,0.0017016003030446058,0.13612802424356849,0.0036159006439697872,0.0027651004924474846,0.009784201742506484,0.055514709886830264,0.10145791806903463,0.01999380356077412,0.1465503260997167,0.0010635001894028788,0.007444501325820151,0.12847082287986775,0.052749609394382786,0.0031905005682086357,0.15335672731189512,
Melee,0.042608386251166364,0.09826015604860816,0.001304338354627542,0.10376736243481334,0.044202577573488916,0.008260809579307764,0.0686951533437172,0.06420243234444456,0.015072354320140485,0.07985449259997507,0.0560865492489843,0.10188331814479577,0.06941978576295472,0.0011594118707800372,0.09275294966240298,0.002463750225407579,0.0018840442900175606,0.006666618256985214,0.037825812284198713,0.06912993279525972,0.013623089481665436,0.09985434737093071,0.0007246324192375233,0.005072426934662664,0.08753559624389282,0.035941767994181154,0.0021738972577125698,0.10449199485405086,
Nuker,0.0007116223173472462,0.0016410882012293639,2.178435665348713e-05,0.0017330665959885317,0.0007382476421459527,0.0001379675921387518,0.0011473094504169889,0.0010722744441660887,0.00025173034355140686,0.0013336867240079343,0.0009367273360999465,0.0017016003030446058,0.0011594118707800372,1.9363872580877448e-05,0.001549109806470196,4.114822923436458e-05,3.146629294392586e-05,0.00011134226734004533,0.0006317463429511267,0.001154570902634818,0.00022752550282531,0.0016677135260280702,1.2102420363048407e-05,8.471694254133885e-05,0.0014619723798562473,0.0006002800500072009,3.6307261089145214e-05,0.00174516901635158,
Ranged,0.0569297853877797,0.13128705609834912,0.0017427485322789706,0.13864532767908255,0.05905981137167622,0.011037407371100146,0.09178475603335912,0.0857819555332871,0.02013842748411255,0.10669493792063477,0.07493818688799574,0.13612802424356849,0.09275294966240298,0.001549109806470196,0.1239287845176157,0.0032918583387491667,0.0025173034355140686,0.008907381387203627,0.050539707436090146,0.09236567221078544,0.018202040226024802,0.13341708208224565,0.0009681936290438727,0.006777355403307109,0.11695779038849981,0.04802240400057608,0.0029045808871316172,0.13961352130812643,
Robot,0.0015121974243628982,0.0034873124276123984,4.629175788866015e-05,0.00368276651647563,0.0015687762395601495,0.0002931811332948476,0.002438032582136101,0.0022785831938529387,0.0005349269800467395,0.0028340842885168607,0.0019905455892123866,0.0036159006439697872,0.002463750225407579,4.114822923436458e-05,0.0032918583387491667,8.743998712302473e-05,6.686587250584244e-05,0.00023660231809759634,0.0013424609787711444,0.002453463168098988,0.00048349169350378376,0.0035438912428096495,2.5717643271477865e-05,0.00018002350290034506,0.003106691307194526,0.001275595106265302,7.715292981443357e-05,0.0037084841597471076,
Senior,0.0011563862656892752,0.0026667683269977166,3.539957956191659e-05,0.0028162332184813645,0.0011996524184871734,0.00022419733722547173,0.001864377856927607,0.0017424459717698944,0.00040906180827103615,0.0021672409265128937,0.0015221819211624133,0.0027651004924474846,0.0018840442900175606,3.146629294392586e-05,0.0025173034355140686,6.686587250584244e-05,5.113272603387952e-05,0.00018093118442757367,0.001026587807295581,0.0018761777167815793,0.0003697289420911288,0.0027100344797956143,1.966643308995366e-05,0.00013766503162967564,0.0023757051172664024,0.0009754550812617016,5.899929926986098e-05,0.002835899651571318,
Shift,0.004091828324746666,0.009436257157068842,0.000125260050757551,0.009965132926934057,0.004244923942339229,0.000793313654797823,0.006597029339897685,0.00616557805395501,0.0014474494754205894,0.007668698663045623,0.005386182182574693,0.009784201742506484,0.006666618256985214,0.00011134226734004533,0.008907381387203627,0.00023660231809759634,0.00018093118442757367,0.0006402180372052607,0.0036325414719689786,0.006638782690150204,0.0013082716412455325,0.009589352774661405,6.958891708752834e-05,0.00048712241961269836,0.008406341184173423,0.0034516102875414055,0.00020876675126258498,0.010034721844021585,
Slow,0.023216678103453906,0.05354050256510799,0.0007107146358200176,0.056541297694125844,0.024085329325011708,0.004501192693526778,0.03743097081985426,0.03498295374091864,0.008212702458364649,0.04351152937075886,0.030560729340260755,0.055514709886830264,0.037825812284198713,0.0006317463429511267,0.050539707436090146,0.0013424609787711444,0.001026587807295581,0.0036325414719689786,0.02061072443878051,0.03766787569846093,0.0074230195296757385,0.05440915378666579,0.00039484146434445427,0.00276389025041118,0.04769684889281007,0.01958413663148493,0.0011845243930333625,0.056936139158470296,
Sniper,0.04243048067182956,0.09784988399830083,0.0012988922654641702,0.10333409578581622,0.04401801566295244,0.008226317681273078,0.06840832598111296,0.06393436373340304,0.015009421734252635,0.07952107091897309,0.05585236741495932,0.10145791806903463,0.06912993279525972,0.001154570902634818,0.09236567221078544,0.002453463168098988,0.0018761777167815793,0.006638782690150204,0.03766787569846093,0.06884129006960102,0.013566208105959111,0.0994374189894237,0.0007216068141467613,0.005051247699027329,0.08717010314892876,0.03579169798167936,0.0021648204424402837,0.10405570259996297,
Specialist,0.008361562228830142,0.019282786364445026,0.00025596619067847377,0.020363532502865246,0.008674409795214943,0.0016211192076303338,0.013480886042399618,0.012599224718951542,0.0029578315367290303,0.015670819007093228,0.011006546199174372,0.01999380356077412,0.013623089481665436,0.00022752550282531,0.018202040226024802,0.00048349169350378376,0.0003697289420911288,0.0013082716412455325,0.0074230195296757385,0.013566208105959111,0.0026734246581973926,0.019595633930829824,0.00014220343926581877,0.0009954240748607315,0.017178175463310907,0.0070532905875846106,0.0004266103177974562,0.020505735942131065,
Starter,0.06128847208153158,0.14133872133087896,0.0018761777167815791,0.1492603605795123,0.06358157817982019,0.01188245887295,0.09881202641716316,0.0923496365038044,0.021680275838364915,0.11486376910518335,0.0806756418216079,0.1465503260997167,0.09985434737093071,0.0016677135260280702,0.13341708208224565,0.0035438912428096495,0.0027100344797956143,0.009589352774661405,0.05440915378666579,0.0994374189894237,0.019595633930829824,0.14363182742916755,0.0010423209537675441,0.007296246676372809,0.1259123712151193,0.051699119306870184,0.0031269628613026317,0.15030268153327983,
Summon,0.0004447639483420289,0.0010256801257683525,1.3615222908429458e-05,0.0010831666224928324,0.0004614047763412205,8.622974508671989e-05,0.0007170684065106181,0.0006701715276038055,0.0001573314647196293,0.0008335542025049591,0.0005854545850624667,0.0010635001894028788,0.0007246324192375233,1.2102420363048407e-05,0.0009681936290438727,2.5717643271477865e-05,1.966643308995366e-05,6.958891708752834e-05,0.00039484146434445427,0.0007216068141467613,0.00014220343926581877,0.0010423209537675441,7.564012726905255e-06,5.294808908833679e-05,0.0009137327374101547,0.0003751750312545006,2.269203818071576e-05,0.0010907306352197377,
Support,0.0031133476383942023,0.0071797608803784675,9.530656035900621e-05,0.007582166357449827,0.0032298334343885435,0.0006036082156070392,0.005019478845574327,0.004691200693226639,0.001101320253037405,0.005834879417534714,0.004098182095437267,0.007444501325820151,0.005072426934662664,8.471694254133885e-05,0.006777355403307109,0.00018002350290034506,0.00013766503162967564,0.00048712241961269836,0.00276389025041118,0.005051247699027329,0.0009954240748607315,0.007296246676372809,5.294808908833679e-05,0.0003706366236183575,0.006396129161871083,0.0026262252187815045,0.00015884426726501033,0.007635114446538164,
Supporter,0.05372748495971709,0.12390215919281698,0.0016447189273382785,0.13084652799713414,0.055737696982019434,0.010416553206475762,0.08662186350648265,0.0809567205345397,0.01900564093813122,0.10069334766259905,0.07072291387554597,0.12847082287986775,0.08753559624389282,0.0014619723798562473,0.11695779038849981,0.003106691307194526,0.0023757051172664024,0.008406341184173423,0.04769684889281007,0.08717010314892876,0.017178175463310907,0.1259123712151193,0.0009137327374101547,0.006396129161871083,0.11037891467914669,0.04532114377554367,0.002741198212230464,0.1317602607345443,
Survival,0.022060291837764635,0.050873734238110285,0.000675315056258101,0.053725064475644485,0.022885676906524537,0.004276995356301307,0.035566592962926656,0.033240507769148754,0.007803640650093613,0.041344288444245966,0.029038547419098344,0.052749609394382786,0.035941767994181154,0.0006002800500072009,0.04802240400057608,0.001275595106265302,0.0009754550812617016,0.0034516102875414055,0.01958413663148493,0.03579169798167936,0.0070532905875846106,0.051699119306870184,0.0003751750312545006,0.0026262252187815045,0.04532114377554367,0.01860868155022323,0.0011255250937635018,0.05410023950689899,
Top,0.0013342918450260865,0.003077040377305057,4.0845668725288366e-05,0.003249499867478497,0.0013842143290236613,0.00025868923526015965,0.002151205219531854,0.0020105145828114165,0.0004719943941588878,0.002500662607514877,0.0017563637551873997,0.0031905005682086357,0.0021738972577125698,3.6307261089145214e-05,0.0029045808871316172,7.715292981443357e-05,5.899929926986098e-05,0.00020876675126258498,0.0011845243930333625,0.0021648204424402837,0.0004266103177974562,0.0031269628613026317,2.269203818071576e-05,0.00015884426726501033,0.002741198212230464,0.0011255250937635018,6.807611454214727e-05,0.0032721919056592124,
Vanguard,0.06413496135092056,0.14790307413579643,0.001963315143395528,0.15619262696346642,0.066534568748404,0.012434329241505008,0.10340126421883113,0.09663873428046875,0.022687197212570544,0.12019851600121509,0.08442255116600769,0.15335672731189512,0.10449199485405086,0.00174516901635158,0.13961352130812643,0.0037084841597471076,0.002835899651571318,0.010034721844021585,0.056936139158470296,0.10405570259996297,0.020505735942131065,0.15030268153327983,0.0010907306352197377,0.007635114446538164,0.1317602607345443,0.05410023950689899,0.0032721919056592124,0.15728335759868617,
