                         AoE         Caster  Crowd-Control    DP-Recovery            DPS         Debuff       Defender        Defense  Fast-Redeploy          Guard        Healing          Medic          Melee          Nuker         Ranged          Robot         Senior          Shift           Slow         Sniper     Specialist        Starter         Summon        Support      Supporter       Survival            Top       Vanguard  
        Nuker  +0.0007116223  +0.0005409782  -0.0010783257  +0.0017330666  +0.0001881926  -0.0004120874  -0.0005028556  +0.0005222194  -0.0002983247  +0.0002335767  +0.0009367273  +0.0011515453  +0.0006093569  -0.0043810762  -0.0001010552  +0.0000411482  -0.0010686437  +0.0001113423  +0.0006317463  -0.0004955941  -0.0003225295  +0.0016677135  -0.0005379526  +0.0000847169  +0.0003618624  +0.0006002801  -0.0016138578  +0.0011951140  
       Ranged  +0.0008241748  +0.0196258900  +0.0006426385  +0.0159830615  +0.0112050259  +0.0005863623  +0.0054261202  -0.0027769004  +0.0069371074  +0.0192361920  +0.0067313662  +0.0063150429  +0.0140950839  -0.0001010552  -0.2281064190  +0.0005415833  +0.0014171934  +0.0034068313  +0.0032349770  +0.0038068163  +0.0094011601  +0.0179055309  +0.0009681936  +0.0034770254  +0.0217982744  +0.0381214139  +0.0023545259  +0.0158511451  
        Robot  -0.0006880226  +0.0012870924  -0.0005037632  +0.0025826565  +0.0010187212  -0.0008069289  +0.0013379226  +0.0011784732  -0.0000151280  +0.0022840293  -0.0002096744  +0.0003155706  -0.0019366898  +0.0000411482  +0.0005415833  -0.0092634951  +0.0000668659  +0.0002366023  -0.0003077040  +0.0008032982  -0.0000665633  +0.0013436712  +0.0000257176  +0.0001800235  +0.0003564163  +0.0001754851  -0.0004729021  +0.0004081541  
       Senior  -0.0004937788  +0.0021167133  -0.0021648204  +0.0000659582  -0.0004505126  +0.0002241973  +0.0007642678  +0.0017424460  -0.0001409932  +0.0005170759  +0.0009721269  +0.0022150455  +0.0007839343  -0.0010686437  +0.0014171934  +0.0000668659  -0.0070995823  +0.0001809312  +0.0004765328  +0.0002260127  -0.0007303811  +0.0016099245  -0.0010804436  +0.0001376650  +0.0018256501  -0.0001246549  -0.0026912757  +0.0011857346  
        Shift  -0.0025088317  +0.0033856521  +0.0001252601  +0.0028144179  +0.0036948689  -0.0030570714  +0.0060469743  +0.0061655781  -0.0073534306  +0.0010680386  +0.0009857421  +0.0026334867  +0.0017161232  +0.0001113423  +0.0034068313  +0.0002366023  +0.0001809312  -0.0246623122  +0.0030824865  -0.0010619874  -0.0058424434  +0.0040888027  +0.0000695889  -0.0006129876  +0.0029057911  -0.0025989948  +0.0002087668  +0.0045341718  
         Slow  +0.0149658530  +0.0001851670  +0.0001606596  -0.0034146979  +0.0174846693  -0.0015494124  +0.0038776155  +0.0008795434  +0.0010619874  +0.0330604843  -0.0040927360  +0.0060097594  +0.0306750972  +0.0006317463  +0.0032349770  -0.0003077040  +0.0004765328  +0.0030824865  -0.1229536320  +0.0228163905  +0.0052227995  +0.0087545883  -0.0001552135  -0.0010864948  -0.0095088717  -0.0101188337  +0.0011845244  -0.0019197464  
       Sniper  +0.0253787755  +0.0208421832  +0.0001987823  +0.0175255149  -0.0098873749  -0.0011246174  +0.0046019453  +0.0089288632  +0.0040083216  -0.0062875099  +0.0085476369  +0.0205998323  -0.0139283730  -0.0004955941  +0.0038068163  +0.0008032982  +0.0002260127  -0.0010619874  +0.0228163905  -0.1935349476  +0.0025651080  +0.0207795532  -0.0003785032  -0.0004493024  +0.0173131175  +0.0247905979  -0.0005854546  +0.0253978368  
   Specialist  +0.0012108472  +0.0077316312  -0.0002940888  +0.0055120474  +0.0042739698  -0.0044294859  -0.0008205441  +0.0043483996  -0.0113435986  +0.0030195539  -0.0021947739  +0.0095427585  +0.0009718244  -0.0003225295  +0.0094011601  -0.0000665633  -0.0007303811  -0.0058424434  +0.0052227995  +0.0025651080  -0.0490317459  +0.0080444788  -0.0004078516  -0.0045051260  +0.0045269103  +0.0043030156  -0.0012235547  +0.0106047458  
      Starter  +0.0051828615  +0.0142760151  +0.0018761777  +0.0144968842  +0.0019754176  +0.0085821288  +0.0113532805  +0.0125916607  +0.0095790657  +0.0136536481  +0.0086184361  +0.0178374548  +0.0107454365  +0.0016677135  +0.0179055309  +0.0013436712  +0.0016099245  +0.0040888027  +0.0087545883  +0.0207795532  +0.0080444788  -0.2353560714  +0.0004922659  +0.0012456416  +0.0142512051  +0.0021941688  +0.0031269629  +0.0166393152  
       Summon  -0.0001052911  -0.0000744299  +0.0000136152  -0.0000169434  -0.0000886502  +0.0000862297  -0.0003830416  +0.0001201165  +0.0001573315  +0.0002834992  +0.0000353996  +0.0010635002  +0.0007246324  -0.0005379526  +0.0009681936  +0.0000257176  -0.0010804436  +0.0000695889  -0.0001552135  -0.0003785032  -0.0004078516  +0.0004922659  -0.0027427110  +0.0000529481  +0.0003636777  +0.0003751750  +0.0000226920  +0.0010907306  
      Support  -0.0023872024  +0.0022292658  +0.0000953066  +0.0059320013  +0.0010296134  -0.0010465568  -0.0010311262  +0.0024909807  -0.0021990098  +0.0036346594  -0.0014023680  +0.0041441713  -0.0015282331  +0.0000847169  +0.0034770254  +0.0001800235  +0.0001376650  -0.0006129876  -0.0010864948  -0.0004493024  -0.0045051260  +0.0012456416  +0.0000529481  -0.0188812886  +0.0058460742  -0.0001240498  -0.0009412657  +0.0054348944  
    Supporter  +0.0009222044  +0.0072904980  +0.0010946639  +0.0158850318  +0.0507872019  +0.0087663882  +0.0101642177  +0.0022988547  +0.0063543758  +0.0115844368  +0.0041662582  +0.0069086667  +0.0160284455  +0.0003618624  +0.0217982744  +0.0003564163  +0.0018256501  +0.0029057911  -0.0095088717  +0.0173131175  +0.0045269103  +0.0142512051  +0.0003636777  +0.0058460742  -0.2218543086  +0.0018667983  +0.0010910332  +0.0162487096  
     Survival  +0.0160096868  -0.0052318763  -0.0004247950  +0.0014698390  -0.0106676784  -0.0028737197  +0.0322662629  +0.0315903428  +0.0001028706  -0.0026601120  -0.0100153580  +0.0043447689  +0.0045886327  +0.0006002801  +0.0381214139  +0.0001754851  -0.0001246549  -0.0025989948  -0.0101188337  +0.0247905979  +0.0043030156  +0.0021941688  +0.0003751750  -0.0001240498  +0.0018667983  -0.1178049598  +0.0000254151  -0.0009052610  
          Top  -0.0003158732  +0.0025269854  -0.0010592643  +0.0026994449  +0.0002841043  -0.0002913658  +0.0005010402  +0.0014604596  -0.0006281156  -0.0002496124  -0.0004438563  +0.0015403356  +0.0010737872  -0.0016138578  +0.0023545259  -0.0004729021  -0.0026912757  +0.0002087668  +0.0011845244  -0.0005854546  -0.0012235547  +0.0031269629  +0.0000226920  -0.0009412657  +0.0010910332  +0.0000254151  -0.0081827490  +0.0016220269  
     Vanguard  +0.0091294608  +0.0114894328  +0.0003131501  +0.0131783255  +0.0005279681  +0.0025333391  +0.0164925733  +0.0086299334  +0.0149864271  +0.0266891651  +0.0123653454  +0.0114425359  +0.0131828639  +0.0011951140  +0.0158511451  +0.0004081541  +0.0011857346  +0.0045341718  -0.0019197464  +0.0253978368  +0.0106047458  +0.0166393152  +0.0010907306  +0.0054348944  +0.0162487096  -0.0009052610  +0.0016220269  -0.2393063014  
