Timestamp,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5
2/23/2020 16:52:17,Caster,Healing,Starter,DP-Recovery,Slow
2/23/2020 16:54:44,Top,Sniper,Healing,Guard,Supporter
2/23/2020 16:56:12,Defender,Supporter,Ranged,Starter,DP-Recovery
2/23/2020 16:56:57,Sniper,Defender,Medic,Ranged,Starter
2/23/2020 16:59:06,Medic,Supporter,Caster,DP-Recovery,Survival
2/23/2020 17:00:23,Defender,Caster,Melee,Medic,Defense
2/23/2020 17:01:31,Guard,Sniper,Melee,Starter,Defense
2/23/2020 17:05:59,Supporter,Vanguard,Healing,Starter,DP-Recovery
2/23/2020 17:06:25,Guard,Sniper,Medic,Healing,Starter
2/23/2020 17:06:58,Guard,Defender,Melee,Ranged,Defense
2/23/2020 17:07:20,Sniper,Defender,Caster,Melee,Defense
2/23/2020 17:20:37,Defender,Vanguard,Starter,Defense,Slow
2/23/2020 17:21:03,Defender,Supporter,Vanguard,Defense,Slow
2/23/2020 17:21:30,Guard,Supporter,Caster,Melee,Survival
2/23/2020 17:21:53,Supporter,Vanguard,Ranged,AoE,Defense
2/23/2020 17:22:18,Guard,Caster,Vanguard,Ranged,Defense
2/23/2020 17:25:48,Top,Vanguard,Sniper,Healing,Support
2/23/2020 17:30:54,Guard,Supporter,Caster,Starter,DP-Recovery
2/23/2020 18:04:56,Starter,Sniper,Guard,DPS,Caster
2/23/2020 18:07:47,Guard,Medic,Supporter,Melee,Ranged
2/23/2020 18:12:51,Sniper,Medic,Caster,DP-Recovery,Defense
2/23/2020 18:13:15,Defender,Caster,Vanguard,DP-Recovery,Slow
2/23/2020 18:14:36,Sniper,Supporter,Ranged,Starter,DP-Recovery
2/23/2020 18:15:43,Medic,Vanguard,Melee,Ranged,DP-Recovery
2/23/2020 18:16:33,Sniper,Defender,Vanguard,Ranged,Melee
2/23/2020 18:17:47,Vanguard,Ranged,Healing,Starter,AoE
2/23/2020 18:42:07,Specialist,Healing,Ranged,Debuff,Support
2/23/2020 18:51:00,Top,Senior,Defender,Vanguard,Medic
2/23/2020 18:56:58,Sniper,Fast-Redeploy,AoE,Supporter,DPS
2/23/2020 18:58:09,Medic,Healing,Ranged,AoE,Guard
