,AoE,Caster,Crowd-Control,DP-Recovery,DPS,Debuff,Defender,Defense,Fast-Redeploy,Guard,Healing,Medic,Melee,Nuker,Ranged,Robot,Senior,Shift,Slow,Sniper,Specialist,Starter,Summon,Support,Supporter,Survival,Top,Vanguard,
Healing,-0.0007787907503621697,0.013931096079905017,0.0010538182531124398,0.0035290657778649093,-0.011041945778736288,-0.0021266978182966816,0.03624916947140258,0.04252034114302519,0.002826520275789956,0.009511594723828821,-0.16755710224487796,0.004207103878704696,0.04178511910596999,0.0009367273360999465,0.0067313662059275275,-0.0002096744327898135,0.0009721269156618633,0.0009857421385702928,-0.004092736006273901,0.008547636941912011,-0.0021947739328388293,0.00861843610103584,3.5399579561916665e-05,-0.0014023679595682337,0.004166258209979415,-0.010015357971440708,-0.00044385626681480036,0.012365345445435633,
Medic,0.006428200575833154,0.014947699390401109,0.0013642453354246317,0.02798079587936793,0.0043674609485150895,0.007173407109687865,0.017761512124809836,0.001266820851502093,0.008369428802066125,0.024788479948104833,0.004207103878704696,-0.23716054223684194,0.02157528734171546,0.0011515452975440557,0.006315042945438665,0.00031557061096648686,0.0022150454869469347,0.0026334866709993333,0.006009759391780757,0.020599832260453782,0.009542758456263668,0.01783745481258797,0.0010635001894028788,0.004144171292816851,0.00690866666424618,0.004344768910334383,0.0015403355517069855,0.011442535892753208,
Melee,0.02830695610815206,0.01905223525652895,0.00020422834362644185,0.02070905660423028,0.00239839715544711,0.0033103145298028136,-0.0050122173933564995,-0.0007040583046203502,-0.00032918583387491623,-0.01750524337362229,0.04178511910596999,0.02157528734171546,-0.19405656187180875,0.0006093568652794872,0.014095083875824324,-0.001936689818596821,0.0007839342790164606,0.0017161232074802638,0.030675097212691564,-0.013928373035323335,0.0009718243551527853,0.010745436479841608,0.0007246324192375233,-0.001528233131343937,0.01602844552882131,0.004588632680649803,0.0010737872467114697,0.01318286394095955,
Nuker,0.0007116223173472462,0.0005409781902282638,-0.001078325654347613,0.0017330665959885317,0.00018819263664540263,-0.00041208741336179824,-0.0005028555660846613,0.0005222194386655387,-0.00029832466194914316,0.00023357671300683423,0.0009367273360999465,0.0011515452975440557,0.0006093568652794872,-0.004381076171423523,-0.0001010552100314541,4.114822923436458e-05,-0.0010686437180571742,0.00011134226734004533,0.0006317463429511267,-0.0004955941138668322,-0.00032252950267524003,0.0016677135260280702,-0.0005379525851375016,8.471694254133885e-05,0.0003618623688551473,0.0006002800500072009,-0.001613857755412505,0.0011951140108510299,
Ranged,0.0008241748267235963,0.019625889981737463,0.0006426385212778705,0.015983061452459896,0.011205025893128363,0.0005863622665896948,0.005426120169772758,-0.0027769003523014507,0.006937107352099348,0.019236192046047304,0.0067313662059275275,0.006315042945438665,0.014095083875824324,-0.0001010552100314541,-0.22810641900273637,0.0005415833112464162,0.0014171934245129686,0.0034068313321981266,0.0032349769630428404,0.003806816325196888,0.009401160138016002,0.01790553092713014,0.0009681936290438727,0.0034770253703038084,0.021798274436904644,0.038121413901566176,0.0023545258816310673,0.01585114507050267,
Robot,-0.0006880225976393019,0.0012870924056101983,-0.0005037632476118899,0.0025826565054745303,0.0010187212340595996,-0.0008069288777062525,0.0013379225711350011,0.0011784731828518387,-1.5128025453810495e-05,0.002284029283016311,-0.0002096744327898135,0.00031557061096648686,-0.001936689818596821,4.114822923436458e-05,0.0005415833112464162,-0.009263495106386327,6.686587250584244e-05,0.00023660231809759634,-0.0003077040377305058,0.000803298151597338,-6.656331199676627e-05,0.0013436712208074494,2.5717643271477865e-05,0.00018002350290034506,0.0003564162796917754,0.00017548509526420187,-0.0004729020756861164,0.00040815412674380727,
Senior,-0.000493778750812375,0.0021167133214971667,-0.0021648204424402837,6.595819097861408e-05,-0.00045051259801447683,0.00022419733722547173,0.0007642678459265069,0.0017424459717698944,-0.00014099319722951387,0.0005170759100112435,0.0009721269156618633,0.0022150454869469347,0.0007839342790164606,-0.0010686437180571742,0.0014171934245129686,6.686587250584244e-05,-0.007099582345473272,0.00018093118442757367,0.0004765328017950311,0.00022601270027992914,-0.0007303810689099713,0.0016099244687945143,-0.0010804435779111464,0.00013766503162967564,0.0018256501117658525,-0.0001246549297393984,-0.0026912757282328893,0.0011857346350696678,
Shift,-0.002508831741259935,0.003385652096562792,0.000125260050757551,0.002814417855426906,0.0036948689368386787,-0.003057071383706027,0.006046974334397135,0.00616557805395501,-0.007353430612588211,0.0010680385970390218,0.0009857421385702928,0.0026334866709993333,0.0017161232074802638,0.00011134226734004533,0.0034068313321981266,0.00023660231809759634,0.00018093118442757367,-0.02466231221582004,0.0030824864664684287,-0.001061987386857497,-0.005842443430261619,0.004088802719655904,6.958891708752834e-05,-0.0006129875913884017,0.0029057911291679216,-0.002598994772964645,0.00020876675126258498,0.004534171789016084,
Slow,0.014965853020945656,0.00018516703155463388,0.00016065963031946758,-0.003414697905434111,0.017484669259005107,-0.0015494123669792725,0.0038776154843207095,0.0008795433998845387,0.0010619873868574978,0.03306048426624841,-0.004092736006273901,0.006009759391780757,0.030675097212691564,0.0006317463429511267,0.0032349769630428404,-0.0003077040377305058,0.0004765328017950311,0.0030824864664684287,-0.12295363199686304,0.02281639054994608,0.005222799507673539,0.008754588330120133,-0.00015521354115609576,-0.0010864947880926705,-0.00950887167924714,-0.010118833665544773,0.0011845243930333625,-0.001919746430088562,
Sniper,0.025378775501312505,0.020842183228223815,0.00019878225446307018,0.017525514927730412,-0.009887374876101467,-0.0011246174122362725,0.004601945343049155,0.008928863183348033,0.004008321624241633,-0.006287509939112715,0.008547636941912011,0.020599832260453782,-0.013928373035323335,-0.0004955941138668322,0.003806816325196888,0.000803298151597338,0.00022601270027992914,-0.001061987386857497,0.02281639054994608,-0.19353494755416137,0.002565107995948109,0.02077955320284504,-0.0003785031968543388,-0.0004493023559781718,0.017313117450358906,0.02479059787166836,-0.0005854545850624668,0.02539783681338431,
Specialist,0.0012108471573229907,0.0077316312489334755,-0.00029408881482207626,0.005512047354350395,0.004273969751210543,-0.004429485852875717,-0.0008205441006146844,0.0043483996364432915,-0.011343598606285272,0.0030195538805805767,-0.0021947739328388293,0.009542758456263668,0.0009718243551527853,-0.00032252950267524003,0.009401160138016002,-6.656331199676627e-05,-0.0007303810689099713,-0.005842443430261619,0.005222799507673539,0.002565107995948109,-0.04903174585885431,0.008044478815318274,-0.0004078515662347313,-0.00450512598014477,0.004526910336798256,0.00430301556008186,-0.0012235546987041939,0.010604745843121164,
Starter,0.005182861520475472,0.01427601506025189,0.0018761777167815791,0.014496884231877533,0.0019754175637585816,0.0085821288399467,0.0113532805425757,0.012591660706224639,0.009579065717352814,0.013653648093082144,0.00861843610103584,0.01783745481258797,0.010745436479841608,0.0016677135260280702,0.01790553092713014,0.0013436712208074494,0.0016099244687945143,0.004088802719655904,0.008754588330120133,0.02077955320284504,0.008044478815318274,-0.23535607136071143,0.0004922659482669941,0.0012456416158667582,0.01425120509850765,0.0021941688118206765,0.0031269628613026317,0.01663931519664616,
Summon,-0.00010529105715852111,-7.442988523274755e-05,1.3615222908429458e-05,-1.6943388508267607e-05,-8.865022915932955e-05,8.622974508671989e-05,-0.00038304160449048196,0.00012011652210325546,0.0001573314647196293,0.0002834991970044091,3.5399579561916665e-05,0.0010635001894028788,0.0007246324192375233,-0.0005379525851375016,0.0009681936290438727,2.5717643271477865e-05,-0.0010804435779111464,6.958891708752834e-05,-0.00015521354115609576,-0.0003785031968543388,-0.0004078515662347313,0.0004922659482669941,-0.002742711014775845,5.294808908833679e-05,0.0003636777319096047,0.0003751750312545006,2.269203818071576e-05,0.0010907306352197377,
Support,-0.0023872024166112986,0.002229265830873517,9.530656035900621e-05,0.005932001340948177,0.0010296134123863434,-0.001046556800894611,-0.0010311262149317237,0.0024909806712244387,-0.0021990097799658953,0.0036346593955325136,-0.0014023679595682337,0.004144171292816851,-0.001528233131343937,8.471694254133885e-05,0.0034770253703038084,0.00018002350290034506,0.00013766503162967564,-0.0006129875913884017,-0.0010864947880926705,-0.0004493023559781718,-0.00450512598014477,0.0012456416158667582,5.294808908833679e-05,-0.018881288568900895,0.0058460741563705326,-0.000124049808721246,-0.0009412657437360897,0.0054348944245359646,
Supporter,0.0009222044316642836,0.0072904980267003705,0.0010946639218377286,0.015885031847519188,0.050787201932514486,0.008766388189974113,0.010164217741906192,0.0022988547479610433,0.006354375811618568,0.011584436771509943,0.004166258209979415,0.00690866666424618,0.01602844552882131,0.0003618623688551473,0.021798274436904644,0.0003564162796917754,0.0018256501117658525,0.0029057911291679216,-0.00950887167924714,0.017313117450358906,0.004526910336798256,0.01425120509850765,0.0003636777319096047,0.0058460741563705326,-0.22185430864318556,0.001866798341000217,0.0010910331957288137,0.016248709579428797,
Survival,0.016009686777258586,-0.005231876322945819,-0.000424794954742999,0.0014698389530922312,-0.010667678429009016,-0.0028737197152058445,0.03226626292992336,0.031590342752647105,0.00010287057308591262,-0.002660111995798041,-0.010015357971440708,0.004344768910334383,0.004588632680649803,0.0006002800500072009,0.038121413901566176,0.00017548509526420187,-0.0001246549297393984,-0.002598994772964645,-0.010118833665544773,0.02479059787166836,0.00430301556008186,0.0021941688118206765,0.0003751750312545006,-0.000124049808721246,0.001866798341000217,-0.11780495981391319,2.5415082762401736e-05,-0.0009052610431560179,
Top,-0.0003158731714755637,0.002526985371804507,-0.0010592643422758117,0.002699444861977947,0.0002841043180225613,-0.0002913657702403904,0.0005010402030302037,0.0014604595773108665,-0.0006281156168422122,-0.00024961241998787366,-0.00044385626681480036,0.0015403355517069855,0.0010737872467114697,-0.001613857755412505,0.0023545258816310673,-0.0004729020756861164,-0.0026912757282328893,0.00020876675126258498,0.0011845243930333625,-0.0005854545850624668,-0.0012235546987041939,0.0031269628613026317,2.269203818071576e-05,-0.0009412657437360897,0.0010910331957288137,2.5415082762401736e-05,-0.008182748967966103,0.0016220268891575622,
Vanguard,0.009129460800865553,0.011489432771660008,0.00031315012689387767,0.013178325533323404,0.0005279680883379934,0.0025333391424951068,0.016492573349744216,0.008629933400380735,0.014986427135562842,0.02668916506612158,0.012365345445435633,0.011442535892753208,0.01318286394095955,0.0011951140108510299,0.01585114507050267,0.00040815412674380727,0.0011857346350696678,0.004534171789016084,-0.001919746430088562,0.02539783681338431,0.010604745843121164,0.01663931519664616,0.0010907306352197377,0.0054348944245359646,0.016248709579428797,-0.0009052610431560179,0.0016220268891575622,-0.23930630136721043,
